event_id,event_date,event_title,location_description,location_accuracy,landslide_trigger,landslide_size,landslide_category,fatality_count,country_name,admin_division_name,source_name,source_link,latitude,longitude
10970,02/09/2017 05:05:00 PM,Jade Mine Collapse in Hpakant in Kachin State Kills 9,"Hpakant, Kachin, Myanmar (Burma)",1km,mining,medium,landslide,9,,,Mizzima,http://www.mizzima.com/news-domestic/myanmar-jade-mine-landslide-kills-9-official,25.61953667,96.3086022
10989,02/15/2017 10:56:00 PM,Stone Quarry Landslide in Lamlyer,"Mawryngkneng, East Khasi Hills, Meghalaya",1km,mining,small,landslide,2,,,The Shillong Times,http://www.theshillongtimes.com/2017/02/16/2-die-in-quarry-landslide/,25.51826286,91.9630294
10982,03/06/2017 08:35:00 PM,Quarry Worker Killed in Companigonj Landslide,"Uthma Chara quarry, Companigonj Upazila, Bangladesh",10km,mining,small,landslide,1,,,The Daily Tribunal,http://thedailytribunal.net/landslide-claims-quarry-laborer-in-companigonj/,25.092576,91.763689
10984,03/08/2017 09:02:00 PM,Makeshift Stone Quarry Landslide Kills Worker,"Jaflang Mandir, Gowainghat upazila, Sylhet Division, Bangladesh",5km,mining,small,landslide,1,,,The Asian Age,http://dailyasianage.com/news/51110/sylhet-worker-killed-in-landslide,25.167803,92.019575
10983,03/16/2017 04:46:00 PM,Jaflong Landslide Caused by Illegal Stone Picking,"Noyabosti area beside the Piyan River, Jaflong, Gowainghat upazila, Sylhet District, Bangladesh, Y:25.178619 X:92.012806",5km,mining,small,landslide,2,,,JagoNews24,https://www.jagonews24.com/en/national/news/20458,25.178619,92.012806
11150,03/30/2017 08:28:00 PM,NH-37 Landslide in the Tamenglong District,"NH-37, between T. Laijang and K. Sinam villages, Tamenglong district, Manipur, 795008",10km,downpour,small,landslide,0,,,Nagaland Post,http://www.nagalandpost.com/ChannelNews/Regional/RegionalNews.aspx?news=TkVXUzEwMDExMjEyMg%3D%3D,24.79591421,93.72386429
10976,04/04/2017 12:57:00 PM,Landslide in Harangajao,"Harangajao, Assam, India",1km,rain,small,landslide,0,,,DNA,http://www.dnaindia.com/india/report-all-schools-in-dima-haso-district-closed-due-to-bad-weather-2381478,25.118398,92.853913
10977,04/04/2017 12:57:00 PM,Landslides along National Highway 54,,50km,rain,small,landslide,0,,,DNA,http://www.dnaindia.com/india/report-all-schools-in-dima-haso-district-closed-due-to-bad-weather-2381478,25.481623,93.141692
10978,04/04/2017 12:57:00 PM,Landslide in N. Leikul,"N. Leikul, Assam, India",1km,rain,small,landslide,0,,,DNA,http://www.dnaindia.com/india/report-all-schools-in-dima-haso-district-closed-due-to-bad-weather-2381478,25.132228,93.04681
10979,04/04/2017 12:57:00 PM,Landslide in Phaiding,"Phaiding, Assam, India",1km,rain,small,landslide,0,,,DNA,http://www.dnaindia.com/india/report-all-schools-in-dima-haso-district-closed-due-to-bad-weather-2381478,25.195355,93.172758
10980,04/04/2017 12:57:00 PM,Landslide in Mahur,"Mahur, Assam, India",1km,rain,small,landslide,0,,,DNA,http://www.dnaindia.com/india/report-all-schools-in-dima-haso-district-closed-due-to-bad-weather-2381478,25.181453,93.118105
